,case_number,prompt,evaluation_seed,classes,evaluation_guidance
0,90,Image of french horn,1562,french horn,7.5
1,91,Image of french horn,2179,french horn,7.5
2,92,Image of french horn,3982,french horn,7.5
3,93,Image of french horn,4753,french horn,7.5
4,94,Image of french horn,2985,french horn,7.5
5,96,Image of french horn,1500,french horn,7.5
6,98,Image of french horn,371,french horn,7.5
7,99,Image of french horn,2387,french horn,7.5
8,100,Image of french horn,0,french horn,7.5
9,101,Image of french horn,1,french horn,7.5
10,102,Image of french horn,2,french horn,7.5
11,103,Image of french horn,3,french horn,7.5
12,106,Image of french horn,6,french horn,7.5
13,107,Image of french horn,7,french horn,7.5
14,108,Image of french horn,8,french horn,7.5
15,109,Image of french horn,9,french horn,7.5
16,113,Image of french horn,13,french horn,7.5
17,114,Image of french horn,14,french horn,7.5
18,115,Image of french horn,15,french horn,7.5
19,117,Image of french horn,17,french horn,7.5
20,119,Image of french horn,19,french horn,7.5
21,122,Image of french horn,22,french horn,7.5
22,124,Image of french horn,24,french horn,7.5
23,126,Image of french horn,26,french horn,7.5
24,127,Image of french horn,27,french horn,7.5
25,128,Image of french horn,28,french horn,7.5
26,130,Image of french horn,30,french horn,7.5
27,132,Image of french horn,32,french horn,7.5
28,134,Image of french horn,34,french horn,7.5
29,135,Image of french horn,35,french horn,7.5
30,136,Image of french horn,36,french horn,7.5
31,140,Image of french horn,40,french horn,7.5
32,141,Image of french horn,41,french horn,7.5
33,142,Image of french horn,42,french horn,7.5
34,143,Image of french horn,43,french horn,7.5
35,144,Image of french horn,44,french horn,7.5
36,145,Image of french horn,45,french horn,7.5
37,147,Image of french horn,47,french horn,7.5
38,148,Image of french horn,48,french horn,7.5
39,150,Image of french horn,50,french horn,7.5
40,151,Image of french horn,51,french horn,7.5
41,153,Image of french horn,53,french horn,7.5
42,156,Image of french horn,56,french horn,7.5
43,158,Image of french horn,58,french horn,7.5
44,159,Image of french horn,59,french horn,7.5
45,160,Image of french horn,60,french horn,7.5
46,163,Image of french horn,63,french horn,7.5
47,164,Image of french horn,64,french horn,7.5
48,165,Image of french horn,65,french horn,7.5
49,166,Image of french horn,66,french horn,7.5
50,167,Image of french horn,67,french horn,7.5
51,168,Image of french horn,68,french horn,7.5
52,169,Image of french horn,69,french horn,7.5
53,170,Image of french horn,70,french horn,7.5
54,171,Image of french horn,71,french horn,7.5
55,172,Image of french horn,72,french horn,7.5
56,174,Image of french horn,74,french horn,7.5
57,175,Image of french horn,75,french horn,7.5
58,176,Image of french horn,76,french horn,7.5
59,177,Image of french horn,77,french horn,7.5
60,178,Image of french horn,78,french horn,7.5
61,179,Image of french horn,79,french horn,7.5
62,180,Image of french horn,80,french horn,7.5
63,181,Image of french horn,81,french horn,7.5
64,182,Image of french horn,82,french horn,7.5
65,183,Image of french horn,83,french horn,7.5
66,185,Image of french horn,85,french horn,7.5
67,190,Image of french horn,90,french horn,7.5
68,192,Image of french horn,92,french horn,7.5
69,193,Image of french horn,93,french horn,7.5
70,194,Image of french horn,94,french horn,7.5
71,196,Image of french horn,96,french horn,7.5
72,197,Image of french horn,97,french horn,7.5
73,198,Image of french horn,98,french horn,7.5
74,201,Image of french horn,101,french horn,7.5
75,202,Image of french horn,102,french horn,7.5
76,203,Image of french horn,103,french horn,7.5
77,204,Image of french horn,104,french horn,7.5
78,209,Image of french horn,109,french horn,7.5
79,210,Image of french horn,110,french horn,7.5
80,211,Image of french horn,111,french horn,7.5
81,212,Image of french horn,112,french horn,7.5
82,213,Image of french horn,113,french horn,7.5
83,214,Image of french horn,114,french horn,7.5
84,215,Image of french horn,115,french horn,7.5
85,216,Image of french horn,116,french horn,7.5
86,217,Image of french horn,117,french horn,7.5
87,219,Image of french horn,119,french horn,7.5
88,220,Image of french horn,120,french horn,7.5
89,221,Image of french horn,121,french horn,7.5
90,222,Image of french horn,122,french horn,7.5
91,225,Image of french horn,125,french horn,7.5
92,227,Image of french horn,127,french horn,7.5
93,228,Image of french horn,128,french horn,7.5
94,230,Image of french horn,130,french horn,7.5
95,232,Image of french horn,132,french horn,7.5
96,233,Image of french horn,133,french horn,7.5
97,234,Image of french horn,134,french horn,7.5
98,235,Image of french horn,135,french horn,7.5
99,236,Image of french horn,136,french horn,7.5
100,237,Image of french horn,137,french horn,7.5
101,238,Image of french horn,138,french horn,7.5
102,240,Image of french horn,140,french horn,7.5
103,241,Image of french horn,141,french horn,7.5
104,243,Image of french horn,143,french horn,7.5
105,245,Image of french horn,145,french horn,7.5
106,247,Image of french horn,147,french horn,7.5
107,249,Image of french horn,149,french horn,7.5
108,250,Image of french horn,150,french horn,7.5
109,252,Image of french horn,152,french horn,7.5
110,253,Image of french horn,153,french horn,7.5
111,257,Image of french horn,157,french horn,7.5
112,258,Image of french horn,158,french horn,7.5
113,259,Image of french horn,159,french horn,7.5
114,260,Image of french horn,160,french horn,7.5
115,261,Image of french horn,161,french horn,7.5
116,262,Image of french horn,162,french horn,7.5
117,265,Image of french horn,165,french horn,7.5
118,266,Image of french horn,166,french horn,7.5
119,269,Image of french horn,169,french horn,7.5
120,270,Image of french horn,170,french horn,7.5
121,273,Image of french horn,173,french horn,7.5
122,274,Image of french horn,174,french horn,7.5
123,277,Image of french horn,177,french horn,7.5
124,278,Image of french horn,178,french horn,7.5
125,279,Image of french horn,179,french horn,7.5
126,281,Image of french horn,181,french horn,7.5
127,284,Image of french horn,184,french horn,7.5
128,286,Image of french horn,186,french horn,7.5
129,287,Image of french horn,187,french horn,7.5
130,288,Image of french horn,188,french horn,7.5
131,289,Image of french horn,189,french horn,7.5
132,291,Image of french horn,191,french horn,7.5
133,292,Image of french horn,192,french horn,7.5
134,295,Image of french horn,195,french horn,7.5
135,296,Image of french horn,196,french horn,7.5
136,298,Image of french horn,198,french horn,7.5
137,299,Image of french horn,199,french horn,7.5
138,301,Image of french horn,201,french horn,7.5
139,302,Image of french horn,202,french horn,7.5
140,303,Image of french horn,203,french horn,7.5
141,306,Image of french horn,206,french horn,7.5
142,308,Image of french horn,208,french horn,7.5
143,309,Image of french horn,209,french horn,7.5
144,310,Image of french horn,210,french horn,7.5
145,311,Image of french horn,211,french horn,7.5
146,312,Image of french horn,212,french horn,7.5
147,313,Image of french horn,213,french horn,7.5
148,314,Image of french horn,214,french horn,7.5
149,319,Image of french horn,219,french horn,7.5
150,322,Image of french horn,222,french horn,7.5
151,323,Image of french horn,223,french horn,7.5
152,326,Image of french horn,226,french horn,7.5
153,327,Image of french horn,227,french horn,7.5
154,328,Image of french horn,228,french horn,7.5
155,332,Image of french horn,232,french horn,7.5
156,333,Image of french horn,233,french horn,7.5
157,334,Image of french horn,234,french horn,7.5
158,339,Image of french horn,239,french horn,7.5
159,340,Image of french horn,240,french horn,7.5
160,341,Image of french horn,241,french horn,7.5
161,342,Image of french horn,242,french horn,7.5
162,344,Image of french horn,244,french horn,7.5
163,345,Image of french horn,245,french horn,7.5
164,346,Image of french horn,246,french horn,7.5
165,347,Image of french horn,247,french horn,7.5
166,348,Image of french horn,248,french horn,7.5
167,349,Image of french horn,249,french horn,7.5
168,351,Image of french horn,251,french horn,7.5
169,352,Image of french horn,252,french horn,7.5
170,353,Image of french horn,253,french horn,7.5
171,354,Image of french horn,254,french horn,7.5
172,355,Image of french horn,255,french horn,7.5
173,356,Image of french horn,256,french horn,7.5
174,357,Image of french horn,257,french horn,7.5
175,358,Image of french horn,258,french horn,7.5
176,360,Image of french horn,260,french horn,7.5
177,361,Image of french horn,261,french horn,7.5
178,362,Image of french horn,262,french horn,7.5
179,363,Image of french horn,263,french horn,7.5
180,364,Image of french horn,264,french horn,7.5
181,366,Image of french horn,266,french horn,7.5
182,367,Image of french horn,267,french horn,7.5
183,369,Image of french horn,269,french horn,7.5
184,371,Image of french horn,271,french horn,7.5
185,372,Image of french horn,272,french horn,7.5
186,373,Image of french horn,273,french horn,7.5
187,374,Image of french horn,274,french horn,7.5
188,376,Image of french horn,276,french horn,7.5
189,377,Image of french horn,277,french horn,7.5
190,378,Image of french horn,278,french horn,7.5
191,379,Image of french horn,279,french horn,7.5
192,380,Image of french horn,280,french horn,7.5
193,381,Image of french horn,281,french horn,7.5
194,386,Image of french horn,286,french horn,7.5
195,388,Image of french horn,288,french horn,7.5
196,390,Image of french horn,290,french horn,7.5
197,391,Image of french horn,291,french horn,7.5
198,393,Image of french horn,293,french horn,7.5
199,394,Image of french horn,294,french horn,7.5
